pick_year,pick_round,original_team_abbr,current_owner_abbr,last_acquired_from_abbr,last_trade_date,last_trade_title
2026,1,ARI,ARI,,,
2026,1,ATL,ATL,,,
2026,1,BAL,BAL,,,
2026,1,BOS,BOS,,,
2026,1,CHC,CHC,,,
2026,1,CHW,CHW,,,
2026,1,CIN,CIN,,,
2026,1,CLE,CLE,,,
2026,1,COL,COL,,,
2026,1,DET,DET,,,
2026,1,HOU,HOU,,,
2026,1,KC,KC,,,
2026,1,LAA,LAA,,,
2026,1,LAD,LAD,,,
2026,1,MIA,MIA,,,
2026,1,MIL,MIL,,,
2026,1,MIN,MIN,,,
2026,1,NYM,NYM,,,
2026,1,NYY,NYY,,,
2026,1,OAK,OAK,,,
2026,1,PHI,PHI,,,
2026,1,PIT,PIT,,,
2026,1,SD,SD,,,
2026,1,SEA,SEA,,,
2026,1,SF,SF,,,
2026,1,STL,STL,,,
2026,1,TB,TB,,,
2026,1,TEX,TEX,,,
2026,1,TOR,TOR,,,
2026,1,WAS,WAS,,,
2026,2,ARI,ARI,,,
2026,2,ATL,ATL,,,
2026,2,BAL,BAL,,,
2026,2,BOS,BOS,,,
2026,2,CHC,CHC,,,
2026,2,CIN,CIN,,,
2026,2,COL,COL,,,
2026,2,DET,DET,,,
2026,2,HOU,HOU,,,
2026,2,CLE,KC,SD,2025-07-07,Adames good amount of Gold for an early pick
2026,2,LAA,LAA,,,
2026,2,MIL,MIL,,,
2026,2,MIA,NYM,MIA,2024-01-01,Black Monday in New York brings Bregman to Miami
2026,2,NYM,NYM,,,
2026,2,NYY,NYY,,,
2026,2,OAK,OAK,,,
2026,2,PHI,PHI,,,
2026,2,PIT,PIT,,,
2026,2,SD,SD,,,
2026,2,SEA,SEA,,,
2026,2,STL,STL,,,
2026,2,KC,TB,KC,2024-01-01,Kansas City trades everything but the BBQ for MAJOR help from Tampa
2026,2,LAD,TB,LAD,2024-01-01,"Rays continue to shed salary. BNSL Dodgers defer cost. Art, life."
2026,2,MIN,TB,MIN,2025-03-01,Twins Rebuilding No More
2026,2,SF,TB,SF,2025-03-01,"Giants Sell Picks, Surprise No One"
2026,2,TB,TB,,,
2026,2,CHW,TEX,CHW,2025-07-07,"Perdomo, may I have those picks, please?"
2026,2,TEX,TEX,,,
2026,2,TOR,TOR,,,
2026,2,WAS,WAS,,,
2026,3,ARI,ARI,,,
2026,3,ATL,ATL,,,
2026,3,BOS,BOS,,,
2026,3,CHC,CHC,,,
2026,3,CHW,CHW,,,
2026,3,CIN,CIN,,,
2026,3,SD,CLE,SD,2025-07-07,Padres a-Ward-ed picks in trade with Cleveland
2026,3,COL,COL,,,
2026,3,DET,DET,,,
2026,3,HOU,HOU,,,
2026,3,KC,KC,,,
2026,3,CLE,LAA,CLE,2025-07-07,The Gunnar trade
2026,3,LAA,LAA,,,
2026,3,LAD,LAD,,,
2026,3,MIL,MIL,,,
2026,3,MIN,MIN,,,
2026,3,NYM,NYM,,,
2026,3,NYY,NYY,,,
2026,3,MIA,OAK,MIA,2025-03-01,1-877 CASH4PICKS
2026,3,OAK,OAK,,,
2026,3,PHI,PHI,,,
2026,3,PIT,PIT,,,
2026,3,SEA,SEA,,,
2026,3,STL,STL,,,
2026,3,BAL,TB,BAL,2025-03-01,Money for picks: The Baltimore-Tampa edition
2026,3,TB,TB,,,
2026,3,SF,TEX,SF,2025-03-01,Money for picks: The San Francisco-Texas edition
2026,3,TEX,TEX,,,
2026,3,TOR,TOR,,,
2026,3,WAS,WAS,,,
2026,4,ARI,ARI,,,
2026,4,ATL,ATL,,,
2026,4,BOS,BOS,,,
2026,4,CHC,CHC,,,
2026,4,CIN,CIN,,,
2026,4,CLE,CLE,,,
2026,4,COL,COL,,,
2026,4,DET,DET,,,
2026,4,HOU,HOU,,,
2026,4,KC,KC,,,
2026,4,CHW,LAA,CHW,2025-07-07,"Angels embrace rebuild, Sox continue retool"
2026,4,LAA,LAA,,,
2026,4,LAD,LAD,,,
2026,4,MIL,MIL,,,
2026,4,MIN,MIN,,,
2026,4,NYM,NYM,,,
2026,4,NYY,NYY,,,
2026,4,OAK,OAK,,,
2026,4,PHI,PHI,,,
2026,4,PIT,PIT,,,
2026,4,SD,SD,,,
2026,4,SEA,SEA,,,
2026,4,STL,STL,,,
2026,4,SF,TB,SF,2024-01-01,Pick to the Rays for Giant bag of cash
2026,4,TB,TB,,,
2026,4,TEX,TEX,,,
2026,4,BAL,TOR,BAL,2024-01-01,This trade is for the birds!
2026,4,MIA,TOR,MIA,2025-07-07,City and Light...and some picks!
2026,4,TOR,TOR,,,
2026,4,WAS,WAS,,,
2026,5,ARI,ARI,,,
2026,5,BAL,BAL,,,
2026,5,BOS,BOS,,,
2026,5,CHC,CHC,,,
2026,5,ATL,CHW,ATL,2025-03-01,Braves and White Sox
2026,5,CIN,CIN,,,
2026,5,CLE,CLE,,,
2026,5,COL,COL,,,
2026,5,DET,DET,,,
2026,5,HOU,HOU,,,
2026,5,LAA,LAA,,,
2026,5,LAD,LAD,,,
2026,5,MIA,LAD,MIA,2025-03-01,Yu are a Marlin! EVERYBODY'S A MARLIN!
2026,5,MIL,MIL,,,
2026,5,MIN,MIN,,,
2026,5,NYM,NYM,,,
2026,5,NYY,NYY,,,
2026,5,OAK,OAK,,,
2026,5,PHI,PHI,,,
2026,5,PIT,PIT,,,
2026,5,SD,SD,,,
2026,5,SEA,SEA,,,
2026,5,SF,SF,,,
2026,5,CHW,STL,CHW,2025-07-07,So many picks to pick!
2026,5,STL,STL,,,
2026,5,TOR,STL,TOR,2024-01-01,"Birds of a feather, trade together."
2026,5,KC,TB,KC,2024-01-01,A Real Royal Homecoming
2026,5,TB,TB,,,
2026,5,TEX,TEX,,,
2026,5,WAS,WAS,,,
2026,6,ARI,ARI,,,
2026,6,ATL,ATL,,,
2026,6,BAL,BAL,,,
2026,6,COL,BAL,COL,2025-03-01,Rocky Mountain Lowe
2026,6,BOS,BOS,,,
2026,6,MIN,BOS,MIN,2025-03-01,"Twins Buy a Catcher, Part I"
2026,6,CHC,CHC,,,
2026,6,CHW,CHW,,,
2026,6,CIN,CIN,,,
2026,6,CLE,CLE,,,
2026,6,DET,DET,,,
2026,6,HOU,HOU,,,
2026,6,KC,KC,,,
2026,6,LAA,LAA,,,
2026,6,TB,LAA,TB,2024-07-19,Angels in the banking system
2026,6,LAD,LAD,,,
2026,6,MIA,MIA,,,
2026,6,MIL,MIL,,,
2026,6,NYM,NYM,,,
2026,6,NYY,NYY,,,
2026,6,OAK,OAK,,,
2026,6,PHI,PHI,,,
2026,6,PIT,PIT,,,
2026,6,SD,SD,,,
2026,6,SEA,SEA,,,
2026,6,SF,SF,,,
2026,6,STL,STL,,,
2026,6,TEX,TEX,,,
2026,6,TOR,TOR,,,
2026,6,WAS,WAS,,,
2026,7,ARI,ARI,,,
2026,7,ATL,ATL,,,
2026,7,BAL,BAL,,,
2026,7,BOS,BOS,,,
2026,7,CHC,CHC,,,
2026,7,CHW,CHW,,,
2026,7,CIN,CIN,,,
2026,7,COL,COL,,,
2026,7,DET,DET,,,
2026,7,HOU,HOU,,,
2026,7,KC,KC,,,
2026,7,NYM,KC,NYM,2024-01-01,Royals quit Fitterer-ing around and make Adames big trade with New York
2026,7,LAA,LAA,,,
2026,7,LAD,LAD,,,
2026,7,MIA,MIA,,,
2026,7,TOR,MIA,TOR,2025-07-07,City and Light...and some picks!
2026,7,MIL,MIL,,,
2026,7,MIN,MIN,,,
2026,7,NYY,NYY,,,
2026,7,OAK,OAK,,,
2026,7,PHI,PHI,,,
2026,7,PIT,PIT,,,
2026,7,CLE,SD,CLE,2025-07-07,Padres a-Ward-ed picks in trade with Cleveland
2026,7,SD,SD,,,
2026,7,SEA,SEA,,,
2026,7,SF,SF,,,
2026,7,STL,STL,,,
2026,7,TB,TB,,,
2026,7,TEX,TEX,,,
2026,7,WAS,WAS,,,
2026,8,ARI,ARI,,,
2026,8,ATL,ATL,,,
2026,8,BAL,BAL,,,
2026,8,BOS,BOS,,,
2026,8,CHC,CHC,,,
2026,8,NYM,CHC,NYM,2024-01-01,Ramon is movin' on up to the East side
2026,8,CHW,CHW,,,
2026,8,LAA,CHW,LAA,2025-07-07,"Angels embrace rebuild, Sox continue retool"
2026,8,CIN,CIN,,,
2026,8,CLE,CLE,,,
2026,8,MIA,CLE,MIA,2025-07-07,A belated Rojas processing
2026,8,COL,COL,,,
2026,8,DET,DET,,,
2026,8,HOU,HOU,,,
2026,8,KC,KC,,,
2026,8,PHI,KC,PHI,2025-07-07,Nola and Alonso trade BBQ for Cheesesteak
2026,8,LAD,LAD,,,
2026,8,MIL,MIL,,,
2026,8,MIN,MIN,,,
2026,8,NYY,NYY,,,
2026,8,OAK,OAK,,,
2026,8,PIT,PIT,,,
2026,8,SD,SD,,,
2026,8,SEA,SEA,,,
2026,8,SF,SF,,,
2026,8,STL,STL,,,
2026,8,TB,TB,,,
2026,8,TEX,TEX,,,
2026,8,TOR,TOR,,,
2026,8,WAS,WAS,,,
2026,9,ARI,ARI,,,
2026,9,ATL,ATL,,,
2026,9,CHW,ATL,CHW,2025-03-01,Braves and White Sox
2026,9,BAL,BAL,,,
2026,9,TOR,BAL,TOR,2024-01-01,This trade is for the birds!
2026,9,BOS,BOS,,,
2026,9,CHC,CHC,,,
2026,9,CIN,CIN,,,
2026,9,COL,COL,,,
2026,9,DET,DET,,,
2026,9,HOU,HOU,,,
2026,9,KC,KC,,,
2026,9,LAD,LAD,,,
2026,9,LAA,MIA,CLE,2025-07-07,A belated Rojas processing
2026,9,MIA,MIA,,,
2026,9,MIL,MIL,,,
2026,9,CLE,MIN,CLE,2024-07-19,Guardians of the 9th and Twin 26's
2026,9,MIN,MIN,,,
2026,9,NYM,NYM,,,
2026,9,NYY,NYY,,,
2026,9,OAK,OAK,,,
2026,9,PHI,PHI,,,
2026,9,PIT,PIT,,,
2026,9,SD,SD,,,
2026,9,SEA,SEA,,,
2026,9,SF,SF,,,
2026,9,TEX,SF,TEX,2025-03-01,Money for picks: The San Francisco-Texas edition
2026,9,STL,STL,,,
2026,9,TB,TB,,,
2026,9,WAS,WAS,,,
2026,10,ARI,ARI,,,
2026,10,ATL,ATL,,,
2026,10,LAD,BAL,TB,2025-03-01,Money for picks: The Baltimore-Tampa edition
2026,10,BOS,BOS,,,
2026,10,CHW,CHW,,,
2026,10,CIN,CIN,,,
2026,10,BAL,COL,BAL,2025-03-01,Rocky Mountain Lowe
2026,10,COL,COL,,,
2026,10,HOU,HOU,,,
2026,10,DET,LAD,DET,2025-03-01,"Tigers, Dodgers Close Deal for Closer"
2026,10,KC,LAD,KC,2025-03-01,Royals Add Gold[schmidt] to Treasury
2026,10,MIA,MIA,,,
2026,10,SD,MIA,SD,2025-07-07,Picks!
2026,10,MIL,MIL,,,
2026,10,CLE,MIN,CLE,2024-07-19,Guardians of the 9th and Twin 26's
2026,10,MIN,MIN,,,
2026,10,TB,MIN,TB,2024-07-19,All Your Pick Are Belong to Mark
2026,10,NYM,NYM,,,
2026,10,NYY,NYY,,,
2026,10,OAK,OAK,,,
2026,10,PHI,PHI,TB,2025-03-01,This for That
2026,10,PIT,PIT,,,
2026,10,SEA,SEA,,,
2026,10,LAA,SF,TB,2025-03-01,"Giants Sell Picks, Surprise No One"
2026,10,SF,SF,,,
2026,10,STL,STL,,,
2026,10,TOR,TEX,TOR,2025-07-07,Picked again!
2026,10,TEX,TOR,TEX,2024-01-01,"This House comes with a Loft(in), a Butler, and more!"
2026,10,CHC,WAS,CHC,2024-01-01,Cubs move assets for strong RP return from Nats
2026,10,WAS,WAS,,,
2026,11,ARI,ARI,,,
2026,11,ATL,ATL,,,
2026,11,BAL,BAL,,,
2026,11,BOS,BOS,,,
2026,11,CHC,CHC,,,
2026,11,CHW,CHW,,,
2026,11,CIN,CIN,,,
2026,11,CLE,CLE,,,
2026,11,COL,COL,,,
2026,11,DET,DET,,,
2026,11,HOU,HOU,,,
2026,11,KC,KC,,,
2026,11,LAA,LAA,,,
2026,11,LAD,LAD,,,
2026,11,MIA,MIA,,,
2026,11,MIL,MIL,,,
2026,11,MIN,MIN,,,
2026,11,NYM,NYM,,,
2026,11,NYY,NYY,,,
2026,11,OAK,OAK,,,
2026,11,PHI,PHI,,,
2026,11,PIT,PIT,,,
2026,11,SD,SD,,,
2026,11,SEA,SEA,,,
2026,11,SF,SF,,,
2026,11,STL,STL,,,
2026,11,TB,TB,,,
2026,11,TEX,TEX,,,
2026,11,TOR,TOR,,,
2026,11,WAS,WAS,,,
2026,12,ARI,ARI,,,
2026,12,ATL,ATL,,,
2026,12,BAL,BAL,,,
2026,12,BOS,BOS,,,
2026,12,CHC,CHC,,,
2026,12,CHW,CHW,,,
2026,12,CIN,CIN,,,
2026,12,CLE,CLE,,,
2026,12,COL,COL,,,
2026,12,DET,DET,,,
2026,12,HOU,HOU,,,
2026,12,KC,KC,,,
2026,12,LAA,LAA,,,
2026,12,LAD,LAD,,,
2026,12,MIA,MIA,,,
2026,12,MIL,MIL,,,
2026,12,MIN,MIN,,,
2026,12,NYM,NYM,,,
2026,12,NYY,NYY,,,
2026,12,OAK,OAK,,,
2026,12,PHI,PHI,,,
2026,12,PIT,PIT,,,
2026,12,SD,SD,,,
2026,12,SEA,SEA,,,
2026,12,SF,SF,,,
2026,12,STL,STL,,,
2026,12,TB,TB,,,
2026,12,TEX,TEX,,,
2026,12,TOR,TOR,,,
2026,12,WAS,WAS,,,
2027,1,ARI,ARI,,,
2027,1,ATL,ATL,,,
2027,1,BAL,BAL,,,
2027,1,BOS,BOS,,,
2027,1,CHC,CHC,,,
2027,1,CHW,CHW,,,
2027,1,CIN,CIN,,,
2027,1,CLE,CLE,,,
2027,1,COL,COL,,,
2027,1,DET,DET,,,
2027,1,HOU,HOU,,,
2027,1,KC,KC,,,
2027,1,LAA,LAA,,,
2027,1,LAD,LAD,,,
2027,1,MIA,MIA,,,
2027,1,MIL,MIL,,,
2027,1,MIN,MIN,,,
2027,1,NYM,NYM,,,
2027,1,NYY,NYY,,,
2027,1,OAK,OAK,,,
2027,1,PHI,PHI,,,
2027,1,PIT,PIT,,,
2027,1,SD,SD,,,
2027,1,SEA,SEA,,,
2027,1,SF,SF,,,
2027,1,STL,STL,,,
2027,1,TB,TB,,,
2027,1,TEX,TEX,,,
2027,1,TOR,TOR,,,
2027,1,WAS,WAS,,,
2027,2,ARI,ARI,,,
2027,2,ATL,ATL,,,
2027,2,BAL,BAL,,,
2027,2,BOS,BOS,,,
2027,2,CHC,CHC,,,
2027,2,CIN,CIN,,,
2027,2,CLE,CLE,,,
2027,2,COL,COL,,,
2027,2,DET,DET,,,
2027,2,HOU,HOU,,,
2027,2,KC,KC,,,
2027,2,LAA,LAA,,,
2027,2,LAD,LAD,,,
2027,2,MIA,MIA,,,
2027,2,MIL,MIL,,,
2027,2,NYM,NYM,,,
2027,2,NYY,NYY,,,
2027,2,OAK,OAK,,,
2027,2,PIT,PIT,,,
2027,2,SD,SD,,,
2027,2,SEA,SEA,,,
2027,2,SF,SF,,,
2027,2,CHW,STL,CHW,2025-07-07,So many picks to pick!
2027,2,STL,STL,,,
2027,2,MIN,TB,MIN,2025-03-01,Twins Rebuilding No More
2027,2,PHI,TB,PHI,2025-03-01,"Phillies Arm Up, Unload Springer on Rays"
2027,2,TB,TB,,,
2027,2,TEX,TEX,,,
2027,2,TOR,TOR,,,
2027,2,WAS,WAS,,,
2027,3,ARI,ARI,,,
2027,3,ATL,ATL,,,
2027,3,BAL,BAL,,,
2027,3,BOS,BOS,,,
2027,3,CHC,CHC,,,
2027,3,CHW,CHW,,,
2027,3,CIN,CIN,,,
2027,3,CLE,CLE,,,
2027,3,COL,COL,,,
2027,3,DET,DET,,,
2027,3,HOU,HOU,,,
2027,3,KC,KC,,,
2027,3,LAA,LAA,,,
2027,3,LAD,LAD,,,
2027,3,MIA,MIA,,,
2027,3,MIL,MIL,,,
2027,3,MIN,MIN,,,
2027,3,NYM,NYM,,,
2027,3,NYY,NYY,,,
2027,3,OAK,OAK,,,
2027,3,PHI,PHI,,,
2027,3,PIT,PIT,,,
2027,3,SD,SD,,,
2027,3,SEA,SEA,,,
2027,3,SF,SF,,,
2027,3,STL,STL,,,
2027,3,TB,TB,,,
2027,3,TEX,TEX,,,
2027,3,TOR,TOR,,,
2027,3,WAS,WAS,,,
2027,4,ARI,ARI,,,
2027,4,ATL,ATL,,,
2027,4,BAL,BAL,,,
2027,4,BOS,BOS,,,
2027,4,CHC,CHC,,,
2027,4,CHW,CHW,,,
2027,4,CIN,CIN,,,
2027,4,COL,COL,,,
2027,4,DET,DET,,,
2027,4,HOU,HOU,,,
2027,4,KC,KC,,,
2027,4,CLE,LAA,CLE,2025-07-07,The Gunnar trade
2027,4,LAA,LAA,,,
2027,4,LAD,LAD,,,
2027,4,MIA,MIA,,,
2027,4,MIL,MIL,,,
2027,4,MIN,MIN,,,
2027,4,NYY,NYY,,,
2027,4,OAK,OAK,,,
2027,4,PHI,PHI,,,
2027,4,PIT,PIT,,,
2027,4,SD,SD,,,
2027,4,SEA,SEA,,,
2027,4,SF,SF,,,
2027,4,STL,STL,,,
2027,4,NYM,TB,NYM,2025-03-01,NEWMAN!!!!
2027,4,TB,TB,,,
2027,4,TEX,TEX,,,
2027,4,TOR,TOR,,,
2027,4,WAS,WAS,,,
