id,pick_label,round,pick,team,player_id,name,position,dob,franchise,mlbamid,mlb_org,fg_30,fg_fv,mlb_30,mlb_fv,fg100,mlb100,drafted_at
205,7.16,7,16,"Detroit Tigers",5599,"Uli Fernsler",P,2007-08-01,"Detroit Tigers",832725,zzz_amateur,,,,,,,2025-11-12T16:46:18
206,7.17,7,17,"Boston Red Sox",167,"Jordan Leasure",P,1998-08-15,"Boston Red Sox",673929,"Chicago White Sox",,,,,,,2025-11-12T18:31:23
207,7.18,7,18,"Cincinnati Reds",4774,"Ethan Dorchies",P,2006-10-22,"Cincinnati Reds",828475,"Milwaukee Brewers",57,35,21,45,,,2025-11-12T18:36:06
208,7.19,7,19,"Oakland Athletics",1923,"Manolfi Jimenez",OF,2004-11-14,"Oakland Athletics",800272,"Philadelphia Phillies",,,,,,,2025-11-12T21:38:02
209,7.20,7,20,"Texas Rangers",2487,"Keaton Anthony",OF,2001-06-24,"Texas Rangers",805704,"Philadelphia Phillies",43,35,15,45,,,2025-11-12T21:50:58
210,7.21,7,21,"Los Angeles Dodgers",3527,"Tanner Franklin",P,2004-05-25,"Los Angeles Dodgers",815119,"St. Louis Cardinals",40,37,19,40,,,2025-11-12T21:52:02
211,7.22,7,22,"Chicago White Sox",3939,"Handelfry Encarnacion",OF,2007-06-08,"Chicago White Sox",821136,"Milwaukee Brewers",,,,,,,2025-11-13T03:03:58
212,7.23,7,23,"San Diego Padres",1580,"Nathan Church",LF,2000-07-12,"San Diego Padres",701675,"St. Louis Cardinals",39,37,14,45,,,2025-11-13T20:00:49
213,7.24,7,24,"Colorado Rockies",4718,"Jack Lafflam",P,2006-10-06,"Colorado Rockies",828177,zzz_amateur,,,,,,,2025-11-13T17:07:50
214,7.25,7,25,"Tampa Bay Rays",1300,"Wilber Dotel",P,2002-09-25,"Tampa Bay Rays",696062,"Pittsburgh Pirates",59,35,28,40,,,2025-11-13T17:07:50
215,7.26,7,26,"Chicago Cubs",3784,"Stharlin Torres",P,2006-06-19,"Chicago Cubs",820941,"Cincinnati Reds",,,,,,,2025-11-13T17:20:25
216,7.27,7,27,"St. Louis Cardinals",3867,"Richard Matic",3B,2007-07-26,"St. Louis Cardinals",821043,"New York Yankees",27,37,,,,,2025-11-13T17:40:40
217,7.28,7,28,"San Francisco Giants",4717,"Brock Ketelsen",OF,2007-07-21,"San Francisco Giants",828176,zzz_amateur,,,,,,,2025-11-13T20:01:51
218,7.29,7,29,"Houston Astros",410,"Kody Funderburk",P,1996-11-27,"Houston Astros",681892,"Minnesota Twins",,,,,,,2025-11-13T21:16:35
219,7.30,7,30,"Detroit Tigers",3686,"Brayden Jaksa",C,2007-01-26,"Detroit Tigers",815984,zzz_amateur,,,,,,,2025-11-13T21:38:08
220,8.01,8,1,"San Diego Padres",5058,"Sebastian Dos Santos",SS,2008-01-29,"San Diego Padres",829741,"St. Louis Cardinals",,,,,,,2025-11-13T23:04:43
221,8.02,8,2,"Milwaukee Brewers",3331,"Talon Haley",P,2006-01-22,"Milwaukee Brewers",813989,"Los Angeles Angels",28,37,12,45,,,2025-11-14T05:00:50
222,8.03,8,3,"Texas Rangers",192,"Juan Mejia",P,2000-07-04,"Texas Rangers",675848,"Colorado Rockies",,,,,,,2025-11-14T14:46:20
223,8.04,8,4,"Washington Nationals",248,"Pete Hansen",P,2000-07-28,"Washington Nationals",677337,"St. Louis Cardinals",10,45,,,,,2025-11-14T17:00:14
224,8.05,8,5,"New York Yankees",4870,"Jhoan De La Cruz",SS,2007-11-16,"New York Yankees",829063,"San Diego Padres",12,40,16,40,,,2025-11-14T17:00:15
225,8.06,8,6,"Pittsburgh Pirates",822,"Anthony Nunez",P,2001-07-10,"Pittsburgh Pirates",689296,"New York Mets",30,42,,,,,2025-11-14T18:08:08
226,8.07,8,7,"Minnesota Twins",3446,"Patrick Copen",P,2002-02-15,"Minnesota Twins",814527,"Los Angeles Dodgers",20,42,17,45,,,2025-11-14T18:18:12
227,8.08,8,8,"Seattle Mariners",3077,"Bryan Balzer",P,2004-10-27,"Seattle Mariners",808893,"San Diego Padres",11,40,15,40,,,2025-11-17T22:20:52
228,8.09,8,9,"Philadelphia Phillies",4703,"Gustavo Melendez",SS,2007-10-20,"Philadelphia Phillies",828116,"Pittsburgh Pirates",22,42,26,40,,,2025-11-14T22:02:05
229,8.10,8,10,"Atlanta Braves",5213,"Raudy Reyes",P,2008-08-22,"Atlanta Braves",829909,"Atlanta Braves",13,42,,,,,2025-11-14T22:12:04
230,8.11,8,11,"Los Angeles Angels",3687,"Ty Peeples",OF,2006-10-17,"Los Angeles Angels",815985,zzz_amateur,,,,,,,2025-11-14T23:32:13
231,8.12,8,12,"New York Mets",2135,"James Hicks",P,2001-05-09,"New York Mets",801802,"Houston Astros",24,37,26,40,,,2025-11-15T13:16:53
232,8.13,8,13,"St. Louis Cardinals",5992,"Wyatt Nadeau",P,2006-09-11,"St. Louis Cardinals",,zzz_amateur,,,,,,,2025-11-15T13:46:15
233,8.14,8,14,"Arizona Diamondbacks",5355,"Adrian Torres",P,2008-01-23,"Arizona Diamondbacks",830397,"Los Angeles Dodgers",62,35,,,,,2025-11-15T14:41:50
234,8.15,8,15,"Tampa Bay Rays",4684,"Frank Cairone",P,2007-09-14,"Tampa Bay Rays",827980,"Milwaukee Brewers",28,40,26,40,,,2025-11-15T15:22:17
235,8.16,8,16,"San Diego Padres",4550,"Brian Curley",P,2003-06-01,"San Diego Padres",826536,"Arizona Diamondbacks",29,40,17,45,,,2025-11-15T17:32:06
236,8.17,8,17,"Boston Red Sox",200,"Janson Junk",P,1996-01-15,"Boston Red Sox",676083,"Oakland Athletics",,,,,,,2025-11-15T19:59:16
237,8.18,8,18,"Cincinnati Reds",4108,"Cristian Arguelles",OF,2007-06-30,"Cincinnati Reds",821692,"Colorado Rockies",51,35,,,,,2025-11-15T20:09:49
238,8.19,8,19,"Oakland Athletics",2983,"Kelvis Salcedo",P,2006-01-23,"Oakland Athletics",808383,"Detroit Tigers",20,40,29,40,,,2025-11-15T21:17:03
239,8.20,8,20,"San Diego Padres",5067,"Angel De Los Santos",SS,2008-03-03,"San Diego Padres",829751,"Detroit Tigers",,,,,,,2025-11-15T22:33:11
240,8.21,8,21,"Los Angeles Dodgers",4900,"Ramcell Medina",SS,2007-11-13,"Los Angeles Dodgers",829096,"Kansas City Royals",46,35,19,40,,,2025-11-15T23:40:09
241,8.22,8,22,"Chicago White Sox",3596,"Marcos Paz",P,2006-11-20,"Chicago White Sox",815602,zzz_amateur,,,,,,,2025-11-17T02:17:41
242,8.23,8,23,"Minnesota Twins",2202,"Malachi Witherspoon",P,2004-08-12,"Minnesota Twins",802412,"Detroit Tigers",26,40,12,45,,,2025-11-17T03:01:14
243,8.24,8,24,"Colorado Rockies",2358,"Austin Peterson",P,1999-09-19,"Colorado Rockies",804926,"Cleveland Guardians",17,42,30,40,,,2025-11-17T08:31:50
244,8.25,8,25,"Kansas City Royals",4710,"Aidan West",SS,2007-04-24,"Kansas City Royals",828140,"Los Angeles Dodgers",38,37,29,40,,,2025-11-17T14:49:00
245,8.26,8,26,"Chicago Cubs",3234,"Deniel Ortiz",3B,2004-08-24,"Chicago Cubs",811765,"St. Louis Cardinals",,,23,40,,,2025-11-17T15:22:44
246,8.27,8,27,"Toronto Blue Jays",3149,"Jakob Wright",P,2003-05-30,"Toronto Blue Jays",809915,"Los Angeles Dodgers",28,40,28,40,,,2025-11-17T19:17:18
247,8.28,8,28,"San Francisco Giants",3646,"Jacob Parker",OF,2006-08-08,"San Francisco Giants",815834,zzz_amateur,,,,,,,2025-11-17T20:18:14
248,8.29,8,29,"Houston Astros",3246,"Marlon Nieves",P,2005-06-10,"Houston Astros",812363,"Los Angeles Dodgers",34,40,,,,,2025-11-17T20:59:06
249,8.30,8,30,"Detroit Tigers",1747,"Easton Carmichael",C,2003-11-03,"Detroit Tigers",702695,"Pittsburgh Pirates",35,40,20,45,,,2025-11-17T21:05:13
250,9.01,9,1,"Tampa Bay Rays",4193,"Carlos De La Rosa",P,2007-11-30,"Tampa Bay Rays",822215,"San Francisco Giants",62,35,26,40,,,2025-11-17T21:10:18
251,9.02,9,2,"Milwaukee Brewers",1159,"Josh Ekness",P,2002-02-07,"Milwaukee Brewers",694795,"Miami Marlins",18,42,21,40,,,2025-11-18T04:31:39
252,9.03,9,3,"San Francisco Giants",3701,"Mason Pike",P,2006-08-28,"San Francisco Giants",816107,zzz_amateur,,,,,,,2025-11-18T14:04:23
253,9.04,9,4,"Washington Nationals",775,"Zach Fruit",P,2000-04-12,"Washington Nationals",688396,"Baltimore Orioles",14,45,,,,,2025-11-18T17:00:35
254,9.05,9,5,"New York Yankees",2815,"Jostin Florentino",P,2004-12-01,"New York Yankees",808062,"Chicago Cubs",,,,,,,2025-11-18T17:00:35
255,9.06,9,6,"Pittsburgh Pirates",4795,"Blaine Bullard",OF,2006-08-16,"Pittsburgh Pirates",828557,"Toronto Blue Jays",,,15,45,,,2025-11-18T17:06:11
256,9.07,9,7,"Chicago White Sox",4689,"William Patrick",OF,2006-06-11,"Chicago White Sox",828065,zzz_amateur,,,,,,,2025-11-18T18:45:44
257,9.08,9,8,"Seattle Mariners",4849,"Mani Cedeno",SS,2008-08-14,"Seattle Mariners",829041,"New York Yankees",36,37,21,40,,,2025-11-18T18:54:45
258,9.09,9,9,"Philadelphia Phillies",4142,"Argenis Cayama",P,2006-09-15,"Philadelphia Phillies",821783,"San Francisco Giants",32,37,10,45,,,2025-11-19T22:39:23
259,9.10,9,10,"Atlanta Braves",4852,"Maykel Coret",OF,2007-09-24,"Atlanta Braves",829044,"Tampa Bay Rays",35,40,,,,,2025-11-18T23:27:20
260,9.11,9,11,"Los Angeles Angels",4503,"Angel Salio",SS,2008-02-16,"Los Angeles Angels",825620,"Cincinnati Reds",,,,,,,2025-11-18T23:46:28
261,9.12,9,12,"New York Mets",3305,"Will Bush",C,2004-03-04,"New York Mets",813844,"Houston Astros",30,37,18,40,,,2025-11-19T13:59:45
262,9.13,9,13,"Toronto Blue Jays",5665,"Mason Ligenza",OF,2007-01-15,"Toronto Blue Jays",834397,zzz_amateur,,,,,,,2025-11-19T14:29:12
263,9.14,9,14,"Arizona Diamondbacks",5009,"Pedro Montero",P,2007-07-11,"Arizona Diamondbacks",829691,"Miami Marlins",43,37,,,,,2025-11-19T14:30:28
264,9.15,9,15,"Baltimore Orioles",3556,"Luis De La Torre",P,2003-09-06,"Baltimore Orioles",815219,"San Francisco Giants",26,40,25,40,,,2025-11-19T16:22:39
265,9.16,9,16,"Kansas City Royals",5377,"Ruben Castillo",OF,2008-01-04,"Kansas City Royals",830419,"New York Yankees",12,42,,,,,2025-11-19T17:23:15
266,9.17,9,17,"Boston Red Sox",3829,"Dexters Peralta",SS,2007-07-11,"Boston Red Sox",820996,"New York Yankees",11,42,,,,,2025-11-19T18:44:47
267,9.18,9,18,"Cincinnati Reds",3271,"Dylan Jordan",P,2005-10-15,"Cincinnati Reds",813335,"Los Angeles Angels",16,40,16,40,,,2025-11-19T18:57:54
268,9.19,9,19,"Oakland Athletics",63,"Nathan Lukes",RF,1994-07-12,"Oakland Athletics",664770,"Toronto Blue Jays",,,,,,,2025-11-19T19:46:17
269,9.20,9,20,"Baltimore Orioles",2636,"Carlos Gutierrez",OF,2004-08-22,"Baltimore Orioles",806872,"San Francisco Giants",34,37,21,40,,,2025-11-19T20:49:04
270,9.21,9,21,"Los Angeles Dodgers",3601,"Carson Brumbaugh",SS,2006-09-20,"Los Angeles Dodgers",815630,zzz_amateur,,,,,,,2025-11-19T20:51:33
271,9.22,9,22,"Cincinnati Reds",1538,"Zach Ehrhard",OF,2003-01-21,"Cincinnati Reds",701394,"Boston Red Sox",31,40,27,40,,,2025-11-19T22:53:53
272,9.23,9,23,"Tampa Bay Rays",4858,"Liberts Aponte",SS,2007-11-08,"Tampa Bay Rays",829051,"Cincinnati Reds",36,37,19,40,,,2025-11-19T22:55:05
273,9.24,9,24,"Colorado Rockies",2027,"Ben Jacobs",P,2004-06-11,"Colorado Rockies",800624,"Detroit Tigers",17,40,19,40,,,2025-11-20T07:23:24
274,9.25,9,25,"Kansas City Royals",3950,"Enddy Azocar",OF,2007-02-24,"Kansas City Royals",821150,"Boston Red Sox",31,37,29,40,,,2025-11-20T13:05:41
275,9.26,9,26,"Chicago Cubs",1625,"Trevor Cohen",OF,2003-10-29,"Chicago Cubs",701906,"San Francisco Giants",,,22,40,,,2025-11-20T14:31:11
276,9.27,9,27,"Miami Marlins",4451,"Nick Dumesnil",OF,2004-03-27,"Miami Marlins",825094,"Detroit Tigers",,,24,40,,,2025-11-20T15:09:04
277,9.28,9,28,"San Francisco Giants",4724,"Nico Partida",SS,2006-11-06,"San Francisco Giants",828223,zzz_amateur,,,,,,,2025-11-20T23:22:10
278,9.29,9,29,"Houston Astros",2255,"Eliazar Dishmey",P,2004-10-25,"Houston Astros",803244,"Miami Marlins",,,,,,,2025-11-20T21:38:49
279,9.30,9,30,"Detroit Tigers",1832,"Max Williams",OF,2004-08-18,"Detroit Tigers",703637,"Miami Marlins",50,37,,,,,2025-11-20T21:47:45
280,10.01,10,1,"San Diego Padres",5585,"Matt Barr",P,2006-01-16,"San Diego Padres",832699,"Minnesota Twins",39,37,23,45,,,2025-11-20T23:22:10
281,10.02,10,2,"Milwaukee Brewers",2511,"Joel Hurtado",P,2001-02-06,"Milwaukee Brewers",805871,"Los Angeles Angels",9,42,22,40,,,2025-11-21T04:39:14
282,10.03,10,3,"Miami Marlins",1051,"Spencer Miles",P,2000-07-26,"Miami Marlins",693686,"San Francisco Giants",51,37,,,,,2025-11-21T08:46:38
283,10.04,10,4,"Washington Nationals",4922,"Aiden Stillman",P,2006-12-14,"Washington Nationals",829305,zzz_amateur,,,,,,,2025-11-21T16:01:31
284,10.05,10,5,"Miami Marlins",2550,"Kyle Henley",OF,2004-12-15,"Miami Marlins",806120,"Cincinnati Reds",37,37,,,,,2025-11-21T17:01:12
285,10.06,10,6,"Pittsburgh Pirates",4697,"Peter Kussow",P,2006-12-08,"Pittsburgh Pirates",828097,"New York Mets",33,37,27,40,,,2025-11-21T17:35:08
286,10.07,10,7,"Colorado Rockies",1531,"Chris Arroyo",1B,2004-09-17,"Colorado Rockies",701360,"Miami Marlins",22,42,,,,,2025-11-21T19:35:46
287,10.08,10,8,"Seattle Mariners",2840,"Andruw Musett",C,2005-11-21,"Seattle Mariners",808104,"Boston Red Sox",15,42,,,,,2025-11-21T20:03:15
288,10.09,10,9,"Miami Marlins",816,"Owen Ayers",C,2001-06-07,"Miami Marlins",689196,"Chicago Cubs",,,,,,,2025-11-21T20:28:40
289,10.10,10,10,"Atlanta Braves",698,"Brent Headrick",P,1997-12-17,"Atlanta Braves",687396,"Minnesota Twins",,,,,,,2025-11-21T22:37:22
290,10.11,10,11,"Los Angeles Angels",1582,"Braedon Karpathios",OF,2003-06-19,"Los Angeles Angels",701682,"San Diego Padres",39,35,29,40,,,2025-11-21T23:03:25
291,10.12,10,12,"New York Mets",3688,"Tim Piasentin",3B,2007-03-25,"New York Mets",815992,"Toronto Blue Jays",,,21,40,,,2025-11-22T04:06:00
292,10.13,10,13,"Miami Marlins",4595,"Ramon Marquez",P,2005-09-19,"Miami Marlins",827408,"Philadelphia Phillies",,,26,40,,,2025-11-22T11:01:15
293,10.14,10,14,"Arizona Diamondbacks",975,"José Rodríguez",P,2001-07-18,"Arizona Diamondbacks",692064,"Los Angeles Dodgers",19,42,,,,,2025-11-22T12:22:56
294,10.15,10,15,"Minnesota Twins",855,"Andrew Walters",P,2000-12-08,"Minnesota Twins",689958,"Cleveland Guardians",21,42,20,40,,,2025-11-22T17:05:23
295,10.16,10,16,"San Francisco Giants",4303,"Ramiro Dominguez",IF,2007-03-26,"San Francisco Giants",823719,"Minnesota Twins",,,,,,,2025-11-25T00:08:11
296,10.17,10,17,"Boston Red Sox",5584,"Cameron Millar",P,2007-05-05,"Boston Red Sox",832698,"Kansas City Royals",31,37,30,40,,,2025-11-22T20:04:49
297,10.18,10,18,"Cincinnati Reds",550,"Andrew Saalfrank",P,1997-08-18,"Cincinnati Reds",685314,"Arizona Diamondbacks",57,37,,,,,2025-11-22T21:20:22
298,10.19,10,19,"Oakland Athletics",2655,"Angel Cepeda",SS,2005-10-29,"Oakland Athletics",806980,"Chicago Cubs",46,35,24,40,,,2025-11-22T21:26:37
299,10.20,10,20,"Los Angeles Dodgers",4868,"Haritzon Castillo",SS,2008-03-23,"Los Angeles Dodgers",829061,"Minnesota Twins",25,40,,,,,2025-11-22T21:41:25
300,10.21,10,21,"Los Angeles Dodgers",4884,"Kenly Hunter",OF,2008-05-09,"Los Angeles Dodgers",829077,"St. Louis Cardinals",59,35,29,40,,,2025-11-22T21:43:12
301,10.22,10,22,"Chicago White Sox",5634,"James Quinn-Irons",OF,2003-06-28,"Chicago White Sox",833397,"Tampa Bay Rays",40,40,,,,,2025-11-24T00:16:05
302,10.23,10,23,"Kansas City Royals",2201,"JT Quinn",P,2004-04-22,"Kansas City Royals",802411,"Baltimore Orioles",54,37,28,40,,,2025-11-24T00:33:30
303,10.24,10,24,"Colorado Rockies",3067,"Andrew Sears",P,2002-08-30,"Colorado Rockies",808825,"Detroit Tigers",,,15,45,,,2025-11-24T01:44:55
304,10.25,10,25,"Cleveland Guardians",2428,"Otto Kemp",1B,1999-09-09,"Cleveland Guardians",805249,"Philadelphia Phillies",,,,,,,2025-11-24T01:57:01
305,10.26,10,26,"Los Angeles Dodgers",3179,"Andrew Tess",C,2006-08-18,"Los Angeles Dodgers",811083,"Baltimore Orioles",,,,,,,2025-11-24T02:00:50
306,10.27,10,27,"Miami Marlins",3098,"Jaron DeBerry",P,2002-08-28,"Miami Marlins",809229,"Milwaukee Brewers",,,,,,,2025-11-24T14:59:18
307,10.28,10,28,"San Francisco Giants",126,"Ryan Ward",LF,1998-02-23,"San Francisco Giants",669899,"Los Angeles Dodgers",,,,,,,2025-11-24T16:01:06
308,10.29,10,29,"Houston Astros",1173,"Brendan Girton",P,2001-11-10,"Houston Astros",694858,"New York Mets",,,,,,,2025-11-24T21:59:49
309,10.30,10,30,"Detroit Tigers",1731,"Luke Hill",3B,2004-04-09,"Detroit Tigers",702619,"Cleveland Guardians",,,26,40,,,2025-11-24T22:11:07
